hh_id,per_id,at_id,act_id,trip_id,BegTime,EndTime,ActType,O_pur,D_pur,Mode,Numontrp,AT_Dur
30000167,1,1,1,-2,0,740,1,-2,-2,-2,-2,740
30000167,1,2,-2,1,740,748,-2,1,13,17,2,8
30000167,1,3,2,-2,748,810,13,-2,-2,-2,-2,62
30000167,1,4,-2,2,810,820,-2,13,1,17,2,10
30000167,1,5,3,-2,820,1440,1,-2,-2,-2,-2,620
30001438,1,1,1,-2,0,550,1,-2,-2,-2,-2,550
30001438,1,2,-2,1,550,554,-2,1,12,6,1,4
30001438,1,3,2,-2,554,592,12,-2,-2,-2,-2,38
30001438,1,4,-2,2,592,596,-2,12,1,6,1,4
30001438,1,5,3,-2,596,955,1,-2,-2,-2,-2,359
30001438,1,6,-2,3,955,1090,-2,1,17,4,2,135
30001438,1,7,4,-2,1090,1105,17,-2,-2,-2,-2,15
30001438,1,8,-2,4,1105,1178,-2,17,13,4,4,73
30001438,1,9,5,-2,1178,1255,13,-2,-2,-2,-2,77
30001438,1,10,-2,5,1255,1278,-2,13,17,4,4,23
30001438,1,11,6,-2,1278,1440,17,-2,-2,-2,-2,162
30001438,2,1,1,-2,0,468,1,-2,-2,-2,-2,468
30001438,2,2,-2,1,468,471,-2,1,3,4,1,3
30001438,2,3,2,-2,471,762,3,-2,-2,-2,-2,291
30001438,2,4,-2,2,762,765,-2,3,1,4,1,3
30001438,2,5,3,-2,765,790,1,-2,-2,-2,-2,25
30001438,2,6,-2,3,790,794,-2,1,3,4,1,4
30001438,2,7,4,-2,794,911,3,-2,-2,-2,-2,117
30001438,2,8,-2,4,911,925,-2,3,6,4,2,14
30001438,2,9,5,-2,925,926,6,-2,-2,-2,-2,1
30001438,2,10,-2,5,926,940,-2,6,1,4,1,14
30001438,2,11,6,-2,940,955,1,-2,-2,-2,-2,15
30001438,2,12,-2,6,955,1090,-2,1,17,4,2,135
30001438,2,13,7,-2,1090,1165,17,-2,-2,-2,-2,75
30001438,2,14,-2,7,1165,1178,-2,17,13,4,4,13
30001438,2,15,8,-2,1178,1265,13,-2,-2,-2,-2,87
30001438,2,16,-2,8,1265,1278,-2,13,1,4,4,13
30001438,2,17,9,-2,1278,1440,1,-2,-2,-2,-2,162
30001811,1,1,1,-2,0,314,1,-2,-2,-2,-2,314
30001811,1,2,-2,1,314,350,-2,1,3,3,2,36
30001811,1,3,2,-2,350,870,3,-2,-2,-2,-2,520
30001811,1,4,-2,2,870,920,-2,3,1,3,1,50
30001811,1,5,3,-2,920,1440,1,-2,-2,-2,-2,520
30001892,1,1,1,-2,0,555,1,-2,-2,-2,-2,555
30001892,1,2,-2,1,555,560,-2,1,3,4,1,5
30001892,1,3,2,-2,560,1095,3,-2,-2,-2,-2,535
30001892,1,4,-2,2,1095,1112,-2,3,6,4,2,17
30001892,1,5,3,-2,1112,1113,6,-2,-2,-2,-2,1
30001892,1,6,-2,3,1113,1123,-2,6,1,4,1,10
30001892,1,7,4,-2,1123,1440,1,-2,-2,-2,-2,317
30002529,1,1,1,-2,0,540,1,-2,-2,-2,-2,540
30002529,1,2,-2,1,540,560,-2,1,11,3,2,20
30002529,1,3,2,-2,560,570,11,-2,-2,-2,-2,10
30002529,1,4,-2,2,570,705,-2,11,13,3,2,135
30002529,1,5,3,-2,705,739,13,-2,-2,-2,-2,34
30002529,1,6,-2,3,739,900,-2,13,17,3,2,161
30002529,1,7,4,-2,900,1440,17,-2,-2,-2,-2,540
30002529,2,1,1,-2,0,540,1,-2,-2,-2,-2,540
