,at_id,act_id,trip_id,BegTime,EndTime,ActType,O_pur,D_pur,Mode,Numontrp,AT_Dur,new_id,student,worker,new_id_2
0,1,1,-2,0,740,1,-2,-2,-2,-2,740,1,False,False,1
1,2,-2,1,740,748,-2,1,13,17,2,8,1,False,False,1
2,3,2,-2,748,810,13,-2,-2,-2,-2,62,1,False,False,1
3,4,-2,2,810,820,-2,13,1,17,2,10,1,False,False,1
4,5,3,-2,820,1440,1,-2,-2,-2,-2,620,1,False,False,1
5,1,1,-2,0,550,1,-2,-2,-2,-2,550,1,False,False,1
6,2,-2,1,550,554,-2,1,12,6,1,4,1,False,False,1
7,3,2,-2,554,592,12,-2,-2,-2,-2,38,1,False,False,1
8,4,-2,2,592,596,-2,12,1,6,1,4,1,False,False,1
9,5,3,-2,596,955,1,-2,-2,-2,-2,359,1,False,False,1
10,6,-2,3,955,1090,-2,1,17,4,2,135,1,False,False,1
11,7,4,-2,1090,1105,17,-2,-2,-2,-2,15,1,False,False,1
12,8,-2,4,1105,1178,-2,17,13,4,4,73,1,False,False,1
13,9,5,-2,1178,1255,13,-2,-2,-2,-2,77,1,False,False,1
14,10,-2,5,1255,1278,-2,13,17,4,4,23,1,False,False,1
15,11,6,-2,1278,1440,17,-2,-2,-2,-2,162,1,False,False,1
52,1,1,-2,0,540,1,-2,-2,-2,-2,540,4,False,False,4
53,2,-2,1,540,560,-2,1,11,3,2,20,4,False,False,4
54,3,2,-2,560,570,11,-2,-2,-2,-2,10,4,False,False,4
55,4,-2,2,570,705,-2,11,13,3,2,135,4,False,False,4
56,5,3,-2,705,739,13,-2,-2,-2,-2,34,4,False,False,4
57,6,-2,3,739,900,-2,13,17,3,2,161,4,False,False,4
58,7,4,-2,900,1440,17,-2,-2,-2,-2,540,4,False,False,4
100,1,1,-2,0,960,1,-2,-2,-2,-2,960,7,False,False,7
101,2,-2,1,960,975,-2,1,11,6,5,15,7,False,False,7
102,3,2,-2,975,1050,11,-2,-2,-2,-2,75,7,False,False,7
103,4,-2,2,1050,1080,-2,11,11,6,5,30,7,False,False,7
104,5,3,-2,1080,1110,11,-2,-2,-2,-2,30,7,False,False,7
105,6,-2,3,1110,1140,-2,11,1,6,5,30,7,False,False,7
106,7,4,-2,1140,1440,1,-2,-2,-2,-2,300,7,False,False,7
107,1,1,-2,0,960,1,-2,-2,-2,-2,960,8,False,False,8
108,2,-2,1,960,975,-2,1,11,6,5,15,8,False,False,8
109,3,2,-2,975,1050,11,-2,-2,-2,-2,75,8,False,False,8
110,4,-2,2,1050,1080,-2,11,11,6,5,30,8,False,False,8
111,5,3,-2,1080,1110,11,-2,-2,-2,-2,30,8,False,False,8
112,6,-2,3,1110,1140,-2,11,1,6,5,30,8,False,False,8
113,7,4,-2,1140,1440,1,-2,-2,-2,-2,300,8,False,False,8
151,1,1,-2,0,502,1,-2,-2,-2,-2,502,12,False,False,12
152,2,-2,1,502,510,-2,1,6,3,2,8,12,False,False,12
153,3,2,-2,510,512,6,-2,-2,-2,-2,2,12,False,False,12
154,4,-2,2,512,523,-2,6,1,3,1,11,12,False,False,12
155,5,3,-2,523,601,1,-2,-2,-2,-2,78,12,False,False,12
156,6,-2,3,601,611,-2,1,17,3,1,10,12,False,False,12
157,7,4,-2,611,626,17,-2,-2,-2,-2,15,12,False,False,12
158,8,-2,4,626,632,-2,17,11,3,1,6,12,False,False,12
159,9,5,-2,632,659,11,-2,-2,-2,-2,27,12,False,False,12
160,10,-2,5,659,674,-2,11,1,3,1,15,12,False,False,12
161,11,6,-2,674,699,1,-2,-2,-2,-2,25,12,False,False,12
162,12,-2,6,699,701,-2,1,17,3,2,2,12,False,False,12
163,13,7,-2,701,735,17,-2,-2,-2,-2,34,12,False,False,12
164,14,-2,7,735,738,-2,17,1,3,2,3,12,False,False,12
165,15,8,-2,738,789,1,-2,-2,-2,-2,51,12,False,False,12
166,16,-2,8,789,796,-2,1,11,3,1,7,12,False,False,12
167,17,9,-2,796,818,11,-2,-2,-2,-2,22,12,False,False,12
168,18,-2,9,818,827,-2,11,1,3,1,9,12,False,False,12
169,19,10,-2,827,904,1,-2,-2,-2,-2,77,12,False,False,12
170,20,-2,10,904,910,-2,1,6,3,1,6,12,False,False,12
171,21,11,-2,910,926,6,-2,-2,-2,-2,16,12,False,False,12
172,22,-2,11,926,936,-2,6,1,3,2,10,12,False,False,12
173,23,12,-2,936,1440,1,-2,-2,-2,-2,504,12,False,False,12
174,1,1,-2,0,699,1,-2,-2,-2,-2,699,13,False,False,13
175,2,-2,1,699,701,-2,1,17,3,2,2,13,False,False,13
176,3,2,-2,701,735,17,-2,-2,-2,-2,34,13,False,False,13
177,4,-2,2,735,738,-2,17,1,3,2,3,13,False,False,13
178,5,3,-2,738,1440,1,-2,-2,-2,-2,702,13,False,False,13
184,1,1,-2,0,585,1,-2,-2,-2,-2,585,15,False,False,15
185,2,-2,1,585,600,-2,1,19,3,2,15,15,False,False,15
186,3,2,-2,600,770,19,-2,-2,-2,-2,170,15,False,False,15
187,4,-2,2,770,785,-2,19,1,3,2,15,15,False,False,15
188,5,3,-2,785,1440,1,-2,-2,-2,-2,655,15,False,False,15
189,1,1,-2,0,720,15,-2,-2,-2,-2,720,16,False,False,16
190,2,-2,1,720,1125,-2,15,1,18,4,405,16,False,False,16
191,3,2,-2,1125,1440,1,-2,-2,-2,-2,315,16,False,False,16
192,1,1,-2,0,585,19,-2,-2,-2,-2,585,17,False,False,17
193,2,-2,1,585,600,-2,19,19,3,2,15,17,False,False,17
194,3,2,-2,600,770,19,-2,-2,-2,-2,170,17,False,False,17
195,4,-2,2,770,785,-2,19,1,3,2,15,17,False,False,17
196,5,3,-2,785,1440,1,-2,-2,-2,-2,655,17,False,False,17
197,1,1,-2,0,465,1,-2,-2,-2,-2,465,18,False,False,18
198,2,-2,1,465,480,-2,1,6,4,2,15,18,False,False,18
199,3,2,-2,480,481,6,-2,-2,-2,-2,1,18,False,False,18
200,4,-2,2,481,490,-2,6,11,4,1,9,18,False,False,18
201,5,3,-2,490,550,11,-2,-2,-2,-2,60,18,False,False,18
202,6,-2,3,550,570,-2,11,1,4,1,20,18,False,False,18
203,7,4,-2,570,885,1,-2,-2,-2,-2,315,18,False,False,18
204,8,-2,4,885,895,-2,1,6,4,1,10,18,False,False,18
205,9,5,-2,895,905,6,-2,-2,-2,-2,10,18,False,False,18
206,10,-2,5,905,920,-2,6,1,4,2,15,18,False,False,18
207,11,6,-2,920,1440,1,-2,-2,-2,-2,520,18,False,False,18
213,1,1,-2,0,535,1,-2,-2,-2,-2,535,20,False,False,20
214,2,-2,1,535,540,-2,1,6,4,2,5,20,False,False,20
215,3,2,-2,540,555,6,-2,-2,-2,-2,15,20,False,False,20
216,4,-2,2,555,565,-2,6,13,4,4,10,20,False,False,20
217,5,3,-2,565,600,13,-2,-2,-2,-2,35,20,False,False,20
218,6,-2,3,600,620,-2,13,6,4,4,20,20,False,False,20
219,7,4,-2,620,625,6,-2,-2,-2,-2,5,20,False,False,20
220,8,-2,4,625,665,-2,6,1,4,2,40,20,False,False,20
221,9,5,-2,665,780,1,-2,-2,-2,-2,115,20,False,False,20
222,10,-2,5,780,815,-2,1,15,4,2,35,20,False,False,20
223,11,6,-2,815,960,15,-2,-2,-2,-2,145,20,False,False,20
224,12,-2,6,960,990,-2,15,13,4,2,30,20,False,False,20
225,13,7,-2,990,1095,13,-2,-2,-2,-2,105,20,False,False,20
226,14,-2,7,1095,1105,-2,13,1,4,2,10,20,False,False,20
227,15,8,-2,1105,1440,1,-2,-2,-2,-2,335,20,False,False,20
228,1,1,-2,0,385,1,-2,-2,-2,-2,385,21,False,False,21
229,2,-2,1,385,390,-2,1,15,4,1,5,21,False,False,21
230,3,2,-2,390,435,15,-2,-2,-2,-2,45,21,False,False,21
231,4,-2,2,435,440,-2,15,1,4,1,5,21,False,False,21
232,5,3,-2,440,1440,1,-2,-2,-2,-2,1000,21,False,False,21
238,1,1,-2,0,540,1,-2,-2,-2,-2,540,23,False,False,23
239,2,-2,1,540,560,-2,1,16,2,1,20,23,False,False,23
240,3,2,-2,560,630,16,-2,-2,-2,-2,70,23,False,False,23
241,4,-2,2,630,650,-2,16,1,2,1,20,23,False,False,23
