,at_id,act_id,trip_id,BegTime,EndTime,ActType,O_pur,D_pur,Mode,Numontrp,AT_Dur,new_id,student,worker,new_id_2
114,1,1,-2,0,405,1,-2,-2,-2,-2,405,9,False,False,9
115,2,-2,1,405,440,-2,1,8,10,1,35,9,False,False,9
116,3,2,-2,440,825,8,-2,-2,-2,-2,385,9,True,False,9
117,4,-2,2,825,870,-2,8,16,1,1,45,9,False,False,9
118,5,3,-2,870,875,16,-2,-2,-2,-2,5,9,False,False,9
119,6,-2,3,875,920,-2,16,16,1,1,45,9,False,False,9
120,7,4,-2,920,950,16,-2,-2,-2,-2,30,9,False,False,9
121,8,-2,4,950,960,-2,16,7,97,1,10,9,False,False,9
122,9,5,-2,960,961,7,-2,-2,-2,-2,1,9,False,False,9
123,10,-2,5,961,975,-2,7,11,6,5,14,9,False,False,9
124,11,6,-2,975,1050,11,-2,-2,-2,-2,75,9,False,False,9
125,12,-2,6,1050,1080,-2,11,11,6,5,30,9,False,False,9
126,13,7,-2,1080,1110,11,-2,-2,-2,-2,30,9,False,False,9
127,14,-2,7,1110,1140,-2,11,1,6,5,30,9,False,False,9
128,15,8,-2,1140,1440,1,-2,-2,-2,-2,300,9,False,False,9
129,1,1,-2,0,486,1,-2,-2,-2,-2,486,10,False,False,10
130,2,-2,1,486,500,-2,1,8,10,2,14,10,False,False,10
131,3,2,-2,500,935,8,-2,-2,-2,-2,435,10,True,False,10
132,4,-2,2,935,955,-2,8,7,10,2,20,10,False,False,10
133,5,3,-2,955,960,7,-2,-2,-2,-2,5,10,False,False,10
134,6,-2,3,960,975,-2,7,11,6,5,15,10,False,False,10
135,7,4,-2,975,1050,11,-2,-2,-2,-2,75,10,False,False,10
136,8,-2,4,1050,1080,-2,11,11,6,5,30,10,False,False,10
137,9,5,-2,1080,1110,11,-2,-2,-2,-2,30,10,False,False,10
138,10,-2,5,1110,1140,-2,11,1,6,5,30,10,False,False,10
139,11,6,-2,1140,1440,1,-2,-2,-2,-2,300,10,False,False,10
140,1,1,-2,0,486,1,-2,-2,-2,-2,486,11,False,False,11
141,2,-2,1,486,500,-2,1,8,10,2,14,11,False,False,11
142,3,2,-2,500,935,8,-2,-2,-2,-2,435,11,True,False,11
143,4,-2,2,935,955,-2,8,7,10,2,20,11,False,False,11
144,5,3,-2,955,960,7,-2,-2,-2,-2,5,11,False,False,11
145,6,-2,3,960,975,-2,7,11,6,5,15,11,False,False,11
146,7,4,-2,975,1050,11,-2,-2,-2,-2,75,11,False,False,11
147,8,-2,4,1050,1080,-2,11,11,6,5,30,11,False,False,11
148,9,5,-2,1080,1110,11,-2,-2,-2,-2,30,11,False,False,11
149,10,-2,5,1110,1140,-2,11,1,6,5,30,11,False,False,11
150,11,6,-2,1140,1440,1,-2,-2,-2,-2,300,11,False,False,11
208,1,1,-2,0,465,1,-2,-2,-2,-2,465,19,False,False,19
209,2,-2,1,465,480,-2,1,8,4,2,15,19,False,False,19
210,3,2,-2,480,900,8,-2,-2,-2,-2,420,19,True,False,19
211,4,-2,2,900,920,-2,8,1,4,2,20,19,False,False,19
212,5,3,-2,920,1440,1,-2,-2,-2,-2,520,19,False,False,19
421,1,1,-2,0,440,1,-2,-2,-2,-2,440,39,False,False,39
422,2,-2,1,440,445,-2,1,7,1,5,5,39,False,False,39
423,3,2,-2,445,449,7,-2,-2,-2,-2,4,39,False,False,39
424,4,-2,2,449,480,-2,7,8,10,3,31,39,False,False,39
