,at_id,act_id,trip_id,BegTime,EndTime,ActType,O_pur,D_pur,Mode,Numontrp,AT_Dur,new_id,student,worker,new_id_2
16,1,1,-2,0,468,1,-2,-2,-2,-2,468,2,False,False,2
17,2,-2,1,468,471,-2,1,3,4,1,3,2,False,False,2
18,3,2,-2,471,762,3,-2,-2,-2,-2,291,2,False,True,2
19,4,-2,2,762,765,-2,3,1,4,1,3,2,False,False,2
20,5,3,-2,765,790,1,-2,-2,-2,-2,25,2,False,False,2
21,6,-2,3,790,794,-2,1,3,4,1,4,2,False,False,2
22,7,4,-2,794,911,3,-2,-2,-2,-2,117,2,False,True,2
23,8,-2,4,911,925,-2,3,6,4,2,14,2,False,False,2
24,9,5,-2,925,926,6,-2,-2,-2,-2,1,2,False,False,2
25,10,-2,5,926,940,-2,6,1,4,1,14,2,False,False,2
26,11,6,-2,940,955,1,-2,-2,-2,-2,15,2,False,False,2
27,12,-2,6,955,1090,-2,1,17,4,2,135,2,False,False,2
28,13,7,-2,1090,1165,17,-2,-2,-2,-2,75,2,False,False,2
29,14,-2,7,1165,1178,-2,17,13,4,4,13,2,False,False,2
30,15,8,-2,1178,1265,13,-2,-2,-2,-2,87,2,False,False,2
31,16,-2,8,1265,1278,-2,13,1,4,4,13,2,False,False,2
32,17,9,-2,1278,1440,1,-2,-2,-2,-2,162,2,False,False,2
33,1,1,-2,0,314,1,-2,-2,-2,-2,314,3,False,False,3
34,2,-2,1,314,350,-2,1,3,3,2,36,3,False,False,3
35,3,2,-2,350,870,3,-2,-2,-2,-2,520,3,False,True,3
36,4,-2,2,870,920,-2,3,1,3,1,50,3,False,False,3
37,5,3,-2,920,1440,1,-2,-2,-2,-2,520,3,False,False,3
38,1,1,-2,0,555,1,-2,-2,-2,-2,555,3,False,False,3
39,2,-2,1,555,560,-2,1,3,4,1,5,3,False,False,3
40,3,2,-2,560,1095,3,-2,-2,-2,-2,535,3,False,True,3
41,4,-2,2,1095,1112,-2,3,6,4,2,17,3,False,False,3
42,5,3,-2,1112,1113,6,-2,-2,-2,-2,1,3,False,False,3
43,6,-2,3,1113,1123,-2,6,1,4,1,10,3,False,False,3
44,7,4,-2,1123,1440,1,-2,-2,-2,-2,317,3,False,False,3
45,1,1,-2,0,540,1,-2,-2,-2,-2,540,3,False,False,3
46,2,-2,1,540,560,-2,1,11,3,2,20,3,False,False,3
47,3,2,-2,560,570,11,-2,-2,-2,-2,10,3,False,False,3
48,4,-2,2,570,705,-2,11,13,3,2,135,3,False,False,3
49,5,3,-2,705,739,13,-2,-2,-2,-2,34,3,False,False,3
50,6,-2,3,739,900,-2,13,17,3,2,161,3,False,False,3
51,7,4,-2,900,1440,17,-2,-2,-2,-2,540,3,False,False,3
59,1,1,-2,0,540,1,-2,-2,-2,-2,540,5,False,False,5
60,2,-2,1,540,585,-2,1,11,1,1,45,5,False,False,5
61,3,2,-2,585,620,11,-2,-2,-2,-2,35,5,False,False,5
62,4,-2,2,620,645,-2,11,11,1,1,25,5,False,False,5
63,5,3,-2,645,660,11,-2,-2,-2,-2,15,5,False,False,5
64,6,-2,3,660,685,-2,11,11,1,1,25,5,False,False,5
65,7,4,-2,685,735,11,-2,-2,-2,-2,50,5,False,False,5
66,8,-2,4,735,770,-2,11,1,1,1,35,5,False,False,5
67,9,5,-2,770,1020,1,-2,-2,-2,-2,250,5,False,False,5
68,10,-2,5,1020,1040,-2,1,11,1,1,20,5,False,False,5
69,11,6,-2,1040,1050,11,-2,-2,-2,-2,10,5,False,False,5
70,12,-2,6,1050,1080,-2,11,1,1,1,30,5,False,False,5
71,13,7,-2,1080,1440,1,-2,-2,-2,-2,360,5,False,False,5
72,1,1,-2,0,485,2,-2,-2,-2,-2,485,5,False,True,5
73,2,-2,1,485,505,-2,2,14,3,1,20,5,False,False,5
74,3,2,-2,505,535,14,-2,-2,-2,-2,30,5,False,False,5
75,4,-2,2,535,570,-2,14,11,3,1,35,5,False,False,5
76,5,3,-2,570,580,11,-2,-2,-2,-2,10,5,False,False,5
77,6,-2,3,580,590,-2,11,12,3,1,10,5,False,False,5
78,7,4,-2,590,600,12,-2,-2,-2,-2,10,5,False,False,5
79,8,-2,4,600,620,-2,12,2,13,1,20,5,False,False,5
80,9,5,-2,620,980,2,-2,-2,-2,-2,360,5,False,True,5
81,10,-2,5,980,1005,-2,2,12,4,2,25,5,False,False,5
82,11,6,-2,1005,1010,12,-2,-2,-2,-2,5,5,False,False,5
83,12,-2,6,1010,1035,-2,12,1,3,1,25,5,False,False,5
84,13,7,-2,1035,1040,1,-2,-2,-2,-2,5,5,False,False,5
85,14,-2,7,1040,1050,-2,1,1,3,1,10,5,False,False,5
86,15,8,-2,1050,1440,1,-2,-2,-2,-2,390,5,False,False,5
87,1,1,-2,0,420,2,-2,-2,-2,-2,420,6,False,True,6
88,2,-2,1,420,427,-2,2,16,4,1,7,6,False,False,6
89,3,2,-2,427,475,16,-2,-2,-2,-2,48,6,False,False,6
90,4,-2,2,475,505,-2,16,5,4,1,30,6,False,False,6
91,5,3,-2,505,535,5,-2,-2,-2,-2,30,6,False,True,6
92,6,-2,3,535,570,-2,5,2,4,1,35,6,False,False,6
93,7,4,-2,570,980,2,-2,-2,-2,-2,410,6,False,True,6
94,8,-2,4,980,1005,-2,2,6,4,3,25,6,False,False,6
95,9,5,-2,1005,1006,6,-2,-2,-2,-2,1,6,False,False,6
96,10,-2,5,1006,1030,-2,6,1,4,1,24,6,False,False,6
97,11,6,-2,1030,1050,1,-2,-2,-2,-2,20,6,False,False,6
98,12,-2,6,1050,1057,-2,1,1,4,1,7,6,False,False,6
99,13,7,-2,1057,1440,1,-2,-2,-2,-2,383,6,False,False,6
179,1,1,-2,0,502,1,-2,-2,-2,-2,502,14,False,False,14
180,2,-2,1,502,510,-2,1,3,3,2,8,14,False,False,14
181,3,2,-2,510,916,3,-2,-2,-2,-2,406,14,False,True,14
182,4,-2,2,916,936,-2,3,1,3,2,20,14,False,False,14
183,5,3,-2,936,1440,1,-2,-2,-2,-2,504,14,False,False,14
233,1,1,-2,0,480,1,-2,-2,-2,-2,480,22,False,False,22
234,2,-2,1,480,488,-2,1,3,4,1,8,22,False,False,22
235,3,2,-2,488,900,3,-2,-2,-2,-2,412,22,False,True,22
236,4,-2,2,900,910,-2,3,1,4,1,10,22,False,False,22
237,5,3,-2,910,1440,1,-2,-2,-2,-2,530,22,False,False,22
247,1,1,-2,0,330,1,-2,-2,-2,-2,330,24,False,False,24
248,2,-2,1,330,360,-2,1,3,5,1,30,24,False,False,24
249,3,2,-2,360,390,3,-2,-2,-2,-2,30,24,False,True,24
250,4,-2,2,390,405,-2,3,11,5,1,15,24,False,False,24
251,5,3,-2,405,420,11,-2,-2,-2,-2,15,24,False,False,24
252,6,-2,3,420,445,-2,11,3,5,1,25,24,False,False,24
253,7,4,-2,445,960,3,-2,-2,-2,-2,515,24,False,True,24
254,8,-2,4,960,990,-2,3,1,5,1,30,24,False,False,24
255,9,5,-2,990,1440,1,-2,-2,-2,-2,450,24,False,False,24
267,1,1,-2,0,750,3,-2,-2,-2,-2,750,26,False,True,26
268,2,-2,1,750,780,-2,3,1,6,1,30,26,False,False,26
269,3,2,-2,780,1440,1,-2,-2,-2,-2,660,26,False,False,26
292,1,1,-2,0,450,1,-2,-2,-2,-2,450,29,False,False,29
293,2,-2,1,450,465,-2,1,11,3,1,15,29,False,False,29
294,3,2,-2,465,490,11,-2,-2,-2,-2,25,29,False,False,29
295,4,-2,2,490,495,-2,11,3,3,1,5,29,False,False,29
296,5,3,-2,495,665,3,-2,-2,-2,-2,170,29,False,True,29
297,6,-2,3,665,668,-2,3,11,3,1,3,29,False,False,29
298,7,4,-2,668,694,11,-2,-2,-2,-2,26,29,False,False,29
299,8,-2,4,694,697,-2,11,3,3,1,3,29,False,False,29
300,9,5,-2,697,1045,3,-2,-2,-2,-2,348,29,False,True,29
301,10,-2,5,1045,1060,-2,3,1,3,1,15,29,False,False,29
302,11,6,-2,1060,1440,1,-2,-2,-2,-2,380,29,False,False,29
303,1,1,-2,0,245,1,-2,-2,-2,-2,245,30,False,False,30
304,2,-2,1,245,255,-2,1,3,6,1,10,30,False,False,30
305,3,2,-2,255,660,3,-2,-2,-2,-2,405,30,False,True,30
306,4,-2,2,660,675,-2,3,1,6,1,15,30,False,False,30
307,5,3,-2,675,1440,1,-2,-2,-2,-2,765,30,False,False,30
326,1,1,-2,0,270,1,-2,-2,-2,-2,270,33,False,False,33
327,2,-2,1,270,295,-2,1,3,4,1,25,33,False,False,33
